#P1	80		p03_max	3825.710599							
#											
#Delta	Beta	m2	p2/p1	p02/p01	M3	p3/p2	p03/p02	p2/p03		p03	Is_MAX
25.9	39.6104887	2.14453346	7.42113116	0.47917848	0.55473274	5.19886108	0.65357269	0.1560653		3804.115923	FALSE
26.1	39.869839	2.1301768	7.50420569	0.47378634	0.55680404	5.12726207	0.66020649	0.15800465		3799.485997	FALSE
26.3	40.130486	2.11581741	7.58783282	0.46843302	0.55891198	5.05613053	0.66685851	0.15997938		3794.405414	FALSE
26.5	40.3924537	2.1014546	7.67201538	0.46311889	0.56105754	4.98546337	0.6735271	0.16199043		3788.873395	FALSE
26.7	40.6557674	2.08708765	7.75675641	0.45784427	0.56324174	4.91525736	0.68021057	0.16403875		3782.889792	FALSE
26.9	40.9204536	2.07271577	7.84205919	0.45260945	0.56546567	4.84550913	0.68690719	0.16612535		3776.453956	FALSE
27.1	41.1865403	2.05833813	7.92792727	0.4474147	0.56773042	4.77621517	0.69361515	0.16825125		3769.565941	FALSE
27.3	41.4540569	2.04395382	8.01436448	0.44226022	0.57003716	4.70737179	0.70033263	0.17041755		3762.224949	FALSE
27.5	41.7230341	2.02956191	8.10137495	0.43714621	0.57238712	4.63897516	0.70705772	0.17262537		3754.430742	FALSE
27.7	41.9935046	2.01516138	8.18896314	0.43207281	0.57478156	4.5710213	0.71378847	0.17487588		3746.183014	FALSE
27.9	42.2655025	2.00075115	8.27713384	0.42704013	0.57722183	4.50350605	0.72052289	0.17717032		3737.481014	FALSE
28.1	42.5390639	1.98633008	8.36589222	0.42204827	0.57970932	4.43642507	0.7272589	0.17950996		3728.324476	FALSE
28.3	42.8142268	1.97189695	8.45524386	0.41709726	0.5822455	4.36977386	0.73399439	0.18189616		3718.712417	FALSE
28.5	43.0910312	1.95745047	8.54519475	0.41218712	0.58483191	4.30354773	0.7407272	0.18433029		3708.644846	FALSE
28.7	43.3695195	1.94298925	8.63575135	0.40731784	0.58747017	4.23774179	0.74745509	0.18681385		3698.120391	FALSE
28.9	43.6497362	1.92851185	8.72692061	0.40248935	0.59016198	4.17235094	0.75417576	0.18934835		3687.138804	FALSE
29.1	43.9317285	1.91401669	8.81871005	0.39770159	0.59290914	4.10736991	0.76088687	0.19193541		3675.699049	FALSE
29.3	44.2155464	1.89950215	8.91112772	0.39295442	0.59571354	4.04279315	0.767586	0.19457673		3663.79997	FALSE
29.5	44.5012426	1.88496644	9.00418233	0.38824771	0.59857718	3.97861492	0.77427068	0.19727408		3651.440607	FALSE
29.7	44.7888731	1.87040772	9.09788325	0.38358127	0.60150215	3.91482922	0.78093836	0.20002933		3638.619696	FALSE
29.9	45.0784971	1.85582398	9.1922406	0.37895489	0.60449069	3.85142977	0.78758644	0.20284444		3625.335987	FALSE
30.1	45.3701777	1.84121311	9.28726528	0.37436832	0.60754516	3.78841003	0.79421224	0.20572149		3611.587795	FALSE
30.3	45.6639816	1.82657286	9.38296907	0.36982128	0.61066805	3.72576315	0.80081301	0.20866266		3597.37351	FALSE
30.5	45.9599801	1.8119008	9.47936468	0.36531346	0.61386203	3.66348196	0.80738594	0.21167026		3582.691184	FALSE
30.7	46.2582489	1.79719438	9.57646585	0.36084451	0.6171299	3.60155894	0.81392814	0.21474674		3567.538525	FALSE
30.9	46.5588688	1.78245085	9.67428743	0.35641404	0.62047468	3.53998622	0.82043663	0.21789467		3551.913383	FALSE
31.1	46.8619261	1.76766727	9.77284552	0.35202164	0.62389957	3.4787555	0.82690837	0.22111681		3535.812775	FALSE
31.3	47.1675129	1.75284048	9.87215754	0.34766684	0.62740798	3.41785806	0.83334024	0.22441605		3519.234044	FALSE
31.5	47.475728	1.73796713	9.9722424	0.34334915	0.63100356	3.3572847	0.83972903	0.2277955		3502.173625	FALSE
31.7	47.7866775	1.72304357	10.0731206	0.33906803	0.63469025	3.29702569	0.84607142	0.23125846		3484.627754	FALSE
31.9	48.1004751	1.70806592	10.1748145	0.33482289	0.63847223	3.23707075	0.85236404	0.23480844		3466.592427	FALSE
32.1	48.4172433	1.69302998	10.2773484	0.33061311	0.64235404	3.17740895	0.8586034	0.2384492		3448.063034	FALSE
32.3	48.7371143	1.67793121	10.3807488	0.32643801	0.64634055	3.11802869	0.86478591	0.24218477		3429.034386	FALSE
32.5	49.060231	1.66276471	10.4850447	0.32229685	0.65043701	3.05891759	0.87090788	0.24601946		3409.500923	FALSE
32.7	49.3867479	1.64752517	10.5902677	0.31818885	0.65464913	3.00006241	0.8769655	0.24995794		3389.455906	FALSE
32.9	49.7168331	1.63220682	10.6964525	0.31411316	0.65898309	2.94144898	0.88295487	0.2540052		3368.892448	FALSE
33.1	50.0506694	1.61680338	10.8036375	0.31006885	0.66344562	2.88306205	0.88887194	0.25816665		3347.802669	FALSE
33.3	50.3884563	1.60130798	10.9118645	0.30605493	0.66804406	2.82488515	0.89471253	0.26244816		3326.177482	FALSE
33.5	50.7304122	1.58571312	11.0211801	0.30207033	0.67278646	2.76690047	0.90047234	0.26685609		3304.00707	FALSE
33.7	51.0767769	1.57001055	11.1316357	0.29811386	0.67768165	2.70908866	0.90614688	0.27139739		3281.280104	FALSE
33.9	51.4278146	1.55419117	11.2432883	0.29418427	0.68273933	2.65142858	0.91173155	0.27607965		3257.983933	FALSE
34.1	51.7838176	1.53824494	11.3562017	0.29028013	0.68797029	2.59389707	0.91722152	0.28091117		3234.104703	FALSE
34.3	52.1451102	1.52216067	11.470447	0.28639994	0.69338645	2.53646864	0.9226118	0.28590114		3209.626097	FALSE
34.5	52.5120543	1.50592593	11.5861043	0.28254198	0.69900116	2.47911507	0.92789719	0.29105969		3184.530101	FALSE
34.7	52.8850551	1.48952675	11.7032636	0.27870439	0.70482936	2.42180493	0.93307224	0.29639807		3158.796169	FALSE
34.9	53.2645692	1.4729474	11.8220273	0.27488508	0.71088788	2.36450308	0.93813125	0.30192888		3132.400531	FALSE
35.1	53.6511136	1.45617009	11.9425119	0.2710817	0.7171958	2.30716989	0.94306825	0.30766623		3105.316277	FALSE
35.3	54.0452778	1.43917448	12.0648509	0.26729161	0.72377489	2.24976039	0.94787692	0.31362606		3077.512347	FALSE
35.5	54.4477384	1.42193726	12.1891988	0.2635118	0.73065016	2.19222318	0.95255061	0.31982654		3048.952423	FALSE
35.7	54.8592782	1.40443143	12.3157347	0.25973881	0.73785056	2.13449892	0.95708223	0.32628845		3019.594399	FALSE
35.9	55.280811	1.38662546	12.4446693	0.25596863	0.74540992	2.07651854	0.96146421	0.33303583		2989.388691	FALSE
36.1	55.7134141	1.36848217	12.5762519	0.25219656	0.75336816	2.0182007	0.96568845	0.34009677		2958.276117	FALSE
36.3	56.1583724	1.34995718	12.710781	0.24841702	0.76177294	1.95944847	0.96974617	0.34750438		2926.186081	FALSE
36.5	56.6172383	1.33099685	12.8486191	0.2446233	0.7706819	1.90014474	0.97362781	0.3552983		2893.032497	FALSE
36.7	57.0919168	1.31153531	12.9902127	0.24080718	0.78016585	1.8401457	0.97732289	0.36352663		2858.70946	FALSE
36.9	57.5847879	1.2914902	13.1361218	0.2369584	0.79031338	1.77927144	0.98081973	0.37224882		2823.084151	FALSE
37.1	58.098891	1.27075627	13.2870638	0.23306386	0.80123773	1.71729176	0.98410524	0.38153994		2785.986453	FALSE
37.3	58.6382111	1.24919541	13.4439825	0.22910638	0.81308758	1.65390405	0.9871644	0.39149727		2747.193103	FALSE
37.5	59.2081486	1.22662027	13.608161	0.22506261	0.82606469	1.58869686	0.98997975	0.4022511		2706.40125	FALSE
37.7	59.8163408	1.20276566	13.7814189	0.22089943	0.84045479	1.52108613	0.9925304	0.41398346		2663.182515	FALSE
37.9	60.4742182	1.17723425	13.9664869	0.21656705	0.85668612	1.45019389	0.99479058	0.42696334		2616.896692	FALSE
38.1	61.2003136	1.1493811	14.167803	0.21198432	0.87545406	1.37458973	0.99672703	0.4416213		2566.507186	FALSE
38.3	62.0285717	1.1180235	14.3935149	0.20700159	0.89803433	1.29163932	0.99829389	0.45873538		2510.120741	FALSE
38.5	63.0360061	1.08047464	14.6621482	0.20127681	0.92732607	1.1953297	0.99942101	0.480046		2443.457202	FALSE
